Permit Number,Status,Street Number,Street Name,Street Suffix,Post-direction,City,State,ZIP code,Added Date,Issue Date,Final Date,Building Area,Declared Valuation,Description,Application Type,Work Type,Use Code,Pre-direction,Location
673377,Stop Work,6107,ROSEMONT,CIR,,ROCKVILLE,MD,20852,05/20/2014,05/20/2014,05/27/2014,44,800.00,REAR STEPS,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"6107 ROSEMONT CIR
ROCKVILLE, MD 20852
(39.032082, -77.126758)"
641876,Stop Work,6202,MADAWASKA,RD,,BETHESDA,MD,20816,07/15/2013,07/19/2013,,336,76000.00,KITCHEN ADDITION (216SF) WITH SCREENED PORCH (120SF),BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"6202 MADAWASKA RD
BETHESDA, MD 20816
(38.958583, -77.126217)"
638284,Stop Work,22755,NEW CUT,RD,,CLARKSBURG,MD,20871,06/12/2013,10/10/2013,04/23/2014,2250,200000.00,Referback: Model: Annapolis,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"22755 NEW CUT RD
CLARKSBURG, MD 20871
(39.228881, -77.249723)"
635649,Stop Work,5202,CARLTON,ST,,BETHESDA,MD,20816,05/20/2013,08/15/2013,,6240,400000.00,,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"5202 CARLTON ST
BETHESDA, MD 20816
(38.958562, -77.120913)"
649985,Stop Work,9314,WORTH,AVE,,SILVER SPRING,MD,20901,09/27/2013,10/02/2013,03/19/2014,1110,100000.00,addition,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"9314 WORTH AVE
SILVER SPRING, MD 20901
(39.00943, -77.016167)"
638820,Stop Work,7611,WINTERBERRY,PL,,BETHESDA,MD,20817,06/17/2013,06/18/2013,10/22/2013,700,110000.00,SCREENED PORCH,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"7611 WINTERBERRY PL
BETHESDA, MD 20817
(38.986829, -77.141797)"
651243,Stop Work,5300,LOCUST,AVE,,BETHESDA,MD,20814,10/10/2013,10/10/2013,12/19/2013,100,12000.00,REPLACING EXISTING PORCH,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"5300 LOCUST AVE
BETHESDA, MD 20814
(39.006863, -77.10709)"
669069,Stop Work,16124,COLUMBIA,PIKE,,BURTONSVILLE,MD,20866,04/10/2014,04/10/2014,,350,1200.00,DECK,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,DECK,,"16124 COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.121251, -76.928479)"
631598,Stop Work,10000,LOGAN,DR,,POTOMAC,MD,20854,04/15/2013,04/17/2013,,167,50000.00,"MUDROOM ADDITION, SIDE ENTRY, ROOF OVER EXISTING PORCH, WINDOW",BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"10000 LOGAN DR
POTOMAC, MD 20854
(39.008048, -77.206979)"
555393,Stop Work,829,PHILADELPHIA,AVE,,SILVER SPRING,MD,20910,11/24/2010,12/14/2010,,999,10000.00,"Enclosing existing rear porch, construct new deck & renovate garage",BUILDING RESIDENTIAL PERMIT,RESTORE AND / OR REPAIR,SINGLE FAMILY DWELLING,,"829 PHILADELPHIA AVE
SILVER SPRING, MD 20910
(38.986959, -77.021937)"
665542,Stop Work,24033,BUSH HILL,RD,,GAITHERSBURG,MD,20882,03/10/2014,03/10/2014,07/31/2014,532,80000.00,"Screened Porch

***Revision 4/24/2014*******",BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"24033 BUSH HILL RD
GAITHERSBURG, MD 20882
(39.250308, -77.200657)"
675638,Stop Work,10832,GAME PRESERVE,RD,,GAITHERSBURG,MD,20879,06/06/2014,06/06/2014,11/06/2014,320,20000.00,PORTICO,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"10832 GAME PRESERVE RD
GAITHERSBURG, MD 20879
(39.168444, -77.221895)"
632489,Stop Work,10311,NAGLEE,RD,,SILVER SPRING,MD,20903,04/23/2013,04/23/2013,06/25/2013,300,24000.00,SCREENED PORCH AND DECK,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"10311 NAGLEE RD
SILVER SPRING, MD 20903
(39.025294, -76.981718)"
630890,Stop Work,4606,NOTTINGHAM,DR,,CHEVY CHASE,MD,20815,04/08/2013,04/26/2013,,315,18000.00,ENCLOSE PORCH,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4606 NOTTINGHAM DR
CHEVY CHASE, MD 20815
(38.976339, -77.090888)"
652506,Stop Work,11916,TALLWOOD,CT,,POTOMAC,MD,20854,10/23/2013,10/23/2013,01/07/2014,320,31883.00,screened porch,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"11916 TALLWOOD CT
POTOMAC, MD 20854
(39.051226, -77.205608)"
633089,Stop Work,4423,RIDGE,ST,,CHEVY CHASE,MD,20815,04/29/2013,05/29/2013,10/24/2013,100,50000.00,ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4423 RIDGE ST
CHEVY CHASE, MD 20815
(38.977931, -77.088918)"
652520,Stop Work,24120,OLD HUNDRED,RD,,DICKERSON,MD,20842,10/23/2013,10/23/2013,06/13/2014,546,11000.00,Addition,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"24120 OLD HUNDRED RD
DICKERSON, MD 20842
(39.253258, -77.346137)"
638950,Stop Work,11015,MIDDLESHIRE,PL,,ROCKVILLE,MD,20852,06/18/2013,06/18/2013,08/21/2013,150,350000.00,ADDING SQUARE FOOTAGE TO AN EXISTING SCREENED PORCH,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"11015 MIDDLESHIRE PL
ROCKVILLE, MD 20852
(39.037854, -77.110294)"
653801,Stop Work,17504,GATSBY,TER,,OLNEY,MD,20832,11/04/2013,11/04/2013,,200,12000.00,Adding Front Porch,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"17504 GATSBY TER
OLNEY, MD 20832
(39.145835, -77.059026)"
623005,Stop Work,24520,RIDGE,RD,,DAMASCUS,MD,20872,01/10/2013,02/27/2013,05/22/2013,293,68000.00,ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"24520 RIDGE RD
DAMASCUS, MD 20872
(39.259982, -77.223444)"
658703,Stop Work,10621,RIVERS BEND,LN,,POTOMAC,MD,20854,12/23/2013,12/23/2013,05/23/2014,312,35000.00,adding roof to existing porch,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"10621 RIVERS BEND LN
POTOMAC, MD 20854
(39.029418, -77.238408)"
632054,Stop Work,12700,TWO FARM,DR,,SILVER SPRING,MD,20904,04/18/2013,04/18/2013,07/12/2013,152,50175.00,ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"12700 TWO FARM DR
SILVER SPRING, MD 20904
(39.06499, -77.007615)"
634727,Stop Work,7724,IVYMOUNT,TER,,POTOMAC,MD,20854,05/10/2013,05/10/2013,06/05/2013,196,27421.00,,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"7724 IVYMOUNT TER
POTOMAC, MD 20854
(39.04642, -77.156149)"
628876,Stop Work,11106,STILLWATER,AVE,,KENSINGTON,MD,20895,03/18/2013,03/19/2013,06/07/2013,361,40000.00,ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"11106 STILLWATER AVE
KENSINGTON, MD 20895
(39.037356, -77.104221)"
667550,Stop Work,22614,SHINING HARNESS,ST,,CLARKSBURG,MD,20871,03/28/2014,05/15/2014,09/26/2014,4877,195000.00,Referback : Model : James Michener,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"22614 SHINING HARNESS ST
CLARKSBURG, MD 20871
(39.224973, -77.241616)"
630262,Stop Work,4804,ENFIELD,RD,,BETHESDA,MD,20814,04/02/2013,04/04/2013,08/28/2013,275,50000.00,ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4804 ENFIELD RD
BETHESDA, MD 20814
(39.011547, -77.096802)"
637905,Stop Work,716,CHESAPEAKE,AVE,,SILVER SPRING,MD,20910,06/10/2013,06/10/2013,06/09/2014,112,5000.00,FRONT PORCH - REPLACE STOOP WITH ROOF,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"716 CHESAPEAKE AVE
SILVER SPRING, MD 20910
(38.988992, -77.017665)"
623792,Stop Work,17001,INDIAN GRASS,DR,,GERMANTOWN,MD,20874,01/18/2013,01/18/2013,05/06/2013,228,20000.00,ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"17001 INDIAN GRASS DR
GERMANTOWN, MD 20874
(39.135498, -77.286353)"
633808,Stop Work,4901,BOILING BROOK,PKWY,,ROCKVILLE,MD,20852,05/03/2013,05/03/2013,,144,10000.00,ADDING A SCREEN PORCH,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4901 BOILING BROOK PKWY
ROCKVILLE, MD 20852
(39.047356, -77.097813)"
641171,Stop Work,11013,HAISLIP,CT,,POTOMAC,MD,20854,07/09/2013,07/09/2013,12/09/2013,307,100000.00,ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"11013 HAISLIP CT
POTOMAC, MD 20854
(39.037295, -77.185566)"
638288,Stop Work,22747,NEW CUT,RD,,CLARKSBURG,MD,20871,06/12/2013,10/10/2013,04/04/2014,2250,200000.00,Referback: Model: Annapolis,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"22747 NEW CUT RD
CLARKSBURG, MD 20871
(39.228806, -77.249811)"
625556,Stop Work,9806,INGLEMERE,DR,,BETHESDA,MD,20817,02/07/2013,02/07/2013,04/24/2013,170,43380.00,sunroom,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"9806 INGLEMERE DR
BETHESDA, MD 20817
(39.017166, -77.134278)"
638228,Stop Work,12908,NEOLA,RD,,SILVER SPRING,MD,20906,06/12/2013,09/11/2013,,855,38000.00,ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"12908 NEOLA RD
SILVER SPRING, MD 20906
(39.067591, -77.077732)"
630026,Stop Work,9619,MCALPINE,RD,,SILVER SPRING,MD,20901,03/29/2013,03/29/2013,04/09/2013,48,12000.00,ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"9619 MCALPINE RD
SILVER SPRING, MD 20901
(39.015404, -76.995833)"
596377,Stop Work,6410,WESTERN,AVE,,CHEVY CHASE,MD,20815,04/17/2012,08/27/2012,,3000,245.00,2 Story-Add and Alter,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"6410 WESTERN AVE
CHEVY CHASE, MD 20815
(38.974497, -77.06818)"
592099,Stop Work,9515,MILSTEAD,DR,,BETHESDA,MD,20817,02/27/2012,03/23/2012,11/08/2012,5400,250000.00,Demo/Rebuild also includes retaining wall,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"9515 MILSTEAD DR
BETHESDA, MD 20817
(39.011508, -77.121437)"
674928,Stop Work,14925,WELLWOOD,RD,,SILVER SPRING,MD,20905,06/02/2014,06/26/2014,12/10/2014,386,45000.00,,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"14925 WELLWOOD RD
SILVER SPRING, MD 20905
(39.099774, -77.009262)"
661487,Stop Work,22321,HONEY HILL,LN,,CLARKSBURG,MD,20871,01/27/2014,02/27/2014,07/18/2014,2489,95000.00,"NEW TOWNHOME ON VACANT LOT / REFERBACK STRAUSS FTA MODEL / 2012 IRC

*EPLANS*",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"22321 HONEY HILL LN
CLARKSBURG, MD 20871
(39.223561, -77.246342)"
664955,Stop Work,508,DEERFIELD,AVE,,SILVER SPRING,MD,20910,03/05/2014,04/04/2014,,235,70000.00,2ND STORY ADDITION AND REBUILD EXISITING SUNROOM,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"508 DEERFIELD AVE
SILVER SPRING, MD 20910
(38.997776, -77.016038)"
601664,Stop Work,7711,TILBURY,ST,,BETHESDA,MD,20814,06/12/2012,06/26/2012,,382,85000.00,Addition to sfd,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"7711 TILBURY ST
BETHESDA, MD 20814
(38.988027, -77.093528)"
642140,Stop Work,5036,TOTHILL,DR,,OLNEY,MD,20832,07/16/2013,07/17/2013,11/25/2013,40.8,3000.00,FRONT PORCH,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"5036 TOTHILL DR
OLNEY, MD 20832
(39.162598, -77.09864)"
652840,Stop Work,8018,PARK,LN,,BETHESDA,MD,20814,10/25/2013,11/08/2013,11/19/2013,486,3500.00,canopy,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"8018 PARK LN
BETHESDA, MD 20814
(38.990381, -77.105643)"
626700,Stop Work,3704,TAYLOR,ST,,CHEVY CHASE,MD,20815,02/21/2013,02/21/2013,08/14/2013,397,40000.00,Constructing deck and repairing room,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"3704 TAYLOR ST
CHEVY CHASE, MD 20815
(38.980964, -77.074581)"
636464,Stop Work,6104,GRANBY,RD,,ROCKVILLE,MD,20855,05/28/2013,06/07/2013,,894,125000.00,"474 SQUARE FOOT ADDITION BEDROOM /GREAT ROOM AND DECK

422 SQUARE FOOT INTERIOR ALTERATION TO BATH AND KITCHEN",BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"6104 GRANBY RD
ROCKVILLE, MD 20855
(39.167841, -77.124629)"
654825,Stop Work,14513,HOLLYHOCK,WAY,,BURTONSVILLE,MD,20866,11/13/2013,11/13/2013,,256,5000.00,ROOF(OVER PATIO),BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"14513 HOLLYHOCK WAY
BURTONSVILLE, MD 20866
(39.093065, -76.943173)"
664516,Stop Work,11324,BERGER,TER,,POTOMAC,MD,20854,02/27/2014,02/27/2014,05/19/2014,330,15000.00,Screened Porch and Deck,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"11324 BERGER TER
POTOMAC, MD 20854
(39.042761, -77.20225)"
636139,Stop Work,12902,GOODHILL,RD,,SILVER SPRING,MD,20906,05/23/2013,05/23/2013,10/10/2013,400,8000.00,PORCH,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"12902 GOODHILL RD
SILVER SPRING, MD 20906
(39.067731, -77.071302)"
662608,Stop Work,8,PARK OVERLOOK,CT,,BETHESDA,MD,20817,02/06/2014,02/06/2014,02/18/2014,232,40000.00,"FINAL INSPECTION ONLY 

315324",BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"8 PARK OVERLOOK CT
BETHESDA, MD 20817
(38.990082, -77.16703)"
663418,Stop Work,9813,ROSENSTEEL,AVE,,SILVER SPRING,MD,20910,02/18/2014,02/26/2014,,280,120000.00,2 STORY ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"9813 ROSENSTEEL AVE
SILVER SPRING, MD 20910
(39.017188, -77.052041)"
632239,Stop Work,4005,BEVERLY,RD,,ROCKVILLE,MD,20853,04/19/2013,06/10/2013,09/12/2013,332,110000.00,Addition and Alteration with restore and repair,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4005 BEVERLY RD
ROCKVILLE, MD 20853
(39.097761, -77.079754)"
675190,Stop Work,9709,BEXHILL,DR,,KENSINGTON,MD,20895,06/03/2014,06/04/2014,08/15/2014,390,20000.00,SCREEN PORCH,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,W,"9709 BEXHILL DR
KENSINGTON, MD 20895
(39.016167, -77.06993)"
656389,Stop Work,5201,GLENWOOD,RD,,BETHESDA,MD,20814,11/27/2013,11/29/2013,01/09/2014,25,11000.00,PORCH WITH ROOF,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"5201 GLENWOOD RD
BETHESDA, MD 20814
(38.993744, -77.105563)"
578762,Stop Work,18744,JERUSALEM CHURCH,RD,,POOLESVILLE,MD,20837,09/01/2011,02/15/2012,,1,,FINAL ONLY PERMIT (original permit #423527),BUILDING RESIDENTIAL PERMIT,FINAL ONLY AP,SINGLE FAMILY DWELLING,,"18744 JERUSALEM CHURCH RD
POOLESVILLE, MD 20837
(39.163313, -77.404604)"
660688,Stop Work,4415,PINETREE,RD,,ROCKVILLE,MD,20853,01/16/2014,01/16/2014,,30.62,150000.00,addition to kitchen bay,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4415 PINETREE RD
ROCKVILLE, MD 20853
(39.121127, -77.0883)"
638483,Stop Work,4211,BEL PRE,RD,,ROCKVILLE,MD,20853,06/13/2013,06/19/2013,09/06/2013,234,16000.00,SUNROOM,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4211 BEL PRE RD
ROCKVILLE, MD 20853
(39.092407, -77.084619)"
626550,Stop Work,15333,BEAUFORT,PL,,SILVER SPRING,MD,20905,02/20/2013,02/20/2013,,240,37000.00,Screened Porch,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"15333 BEAUFORT PL
SILVER SPRING, MD 20905
(39.107896, -76.973952)"
679712,Stop Work,8908,BURDETTE,RD,,BETHESDA,MD,20817,07/08/2014,07/21/2014,,410,50000.00,pool in ground,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SWIMMING POOL,,"8908 BURDETTE RD
BETHESDA, MD 20817
(39.002676, -77.142792)"
661482,Stop Work,22329,HONEY HILL,LN,,CLARKSBURG,MD,20871,01/27/2014,02/27/2014,07/22/2014,2489,95000.00,"NEW TOWNHOME ON VACANT LOT / REFERBACK STRAUSS FTA MODEL / 2012 IRC

*EPLANS*",BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"22329 HONEY HILL LN
CLARKSBURG, MD 20871
(39.223499, -77.246438)"
653833,Stop Work,10021,DICKENS,AVE,,BETHESDA,MD,20814,11/04/2013,11/04/2013,01/31/2014,288,45000.00,DECK AND COVERED PORCH,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"10021 DICKENS AVE
BETHESDA, MD 20814
(39.021061, -77.113633)"
633822,Stop Work,1207,BURTON,ST,,SILVER SPRING,MD,20910,05/03/2013,05/03/2013,06/10/2013,172,20000.00,PORCH,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"1207 BURTON ST
SILVER SPRING, MD 20910
(39.001943, -77.030944)"
632329,Stop Work,23416,TAILOR SHOP,PL,,CLARKSBURG,MD,20871,04/22/2013,04/22/2013,05/24/2013,156,20000.00,SCREENED PORCH,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"23416 TAILOR SHOP PL
CLARKSBURG, MD 20871
(39.243728, -77.281879)"
635945,Stop Work,6515,ELGIN,LN,,BETHESDA,MD,20817,05/22/2013,05/28/2013,10/11/2013,698,170000.00,SECOND STORY ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"6515 ELGIN LN
BETHESDA, MD 20817
(38.97619, -77.132328)"
661594,Stop Work,14925,DUFIEF,DR,,GAITHERSBURG,MD,20878,01/28/2014,01/30/2014,05/02/2014,415.4,29095.00,1 STORY ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"14925 DUFIEF DR
GAITHERSBURG, MD 20878
(39.098897, -77.23556)"
624400,Stop Work,5712,WYNGATE,DR,,BETHESDA,MD,20817,01/25/2013,04/02/2013,09/23/2013,5002,400000.00,Demo/Rebuild,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"5712 WYNGATE DR
BETHESDA, MD 20817
(39.011224, -77.118626)"
621109,Stop Work,22765,SWEETSPIRE,DR,,CLARKSBURG,MD,20871,12/14/2012,01/15/2013,06/27/2013,3923,150000.00,Model:Ashland III,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"22765 SWEETSPIRE DR
CLARKSBURG, MD 20871
(39.229699, -77.245677)"
667787,Stop Work,4200,GARRETT PARK,RD,,SILVER SPRING,MD,20906,04/01/2014,04/11/2014,,60,8000.00,1 STORY ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4200 GARRETT PARK RD
SILVER SPRING, MD 20906
(39.045457, -77.082156)"
616839,Stop Work,5120,WILSON,LN,,BETHESDA,MD,20814,11/06/2012,02/04/2013,07/15/2013,360,45000.00,One Story Addition,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"5120 WILSON LN
BETHESDA, MD 20814
(38.987245, -77.102959)"
603152,Stop Work,3516,NIMITZ,RD,,KENSINGTON,MD,20895,06/25/2012,08/13/2012,,96,2000.00,Adding new roof over existing deck.,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"3516 NIMITZ RD
KENSINGTON, MD 20895
(39.035949, -77.071406)"
648909,Stop Work,612,PERSHING,DR,,SILVER SPRING,MD,20910,09/17/2013,10/08/2013,02/18/2014,266,40000.00,addition sunroom and deck,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"612 PERSHING DR
SILVER SPRING, MD 20910
(39.000207, -77.021531)"
676217,Stop Work,7709,TIMBERCREST,DR,,ROCKVILLE,MD,20855,06/11/2014,06/25/2014,,210,15000.00,DECK,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"7709 TIMBERCREST DR
ROCKVILLE, MD 20855
(39.13041, -77.15861)"
626059,Stop Work,7604,GLENBROOK,RD,,BETHESDA,MD,20814,02/13/2013,02/13/2013,04/25/2013,286,20000.00,Covered Porch,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"7604 GLENBROOK RD
BETHESDA, MD 20814
(38.986329, -77.107443)"
638287,Stop Work,22749,NEW CUT,RD,,CLARKSBURG,MD,20871,06/12/2013,10/10/2013,03/27/2014,2250,200000.00,Referback: Model: Annapolis,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"22749 NEW CUT RD
CLARKSBURG, MD 20871
(39.228825, -77.249789)"
638640,Stop Work,4844,SWEETBIRCH,DR,,ROCKVILLE,MD,20853,06/14/2013,06/27/2013,,855,147000.00,3 STORY ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4844 SWEETBIRCH DR
ROCKVILLE, MD 20853
(39.111369, -77.098345)"
638292,Stop Work,22739,NEW CUT,RD,,CLARKSBURG,MD,20871,06/12/2013,08/27/2013,01/08/2014,2250,200000.00,Referback: Model: Annapolis,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"22739 NEW CUT RD
CLARKSBURG, MD 20871
(39.228731, -77.249899)"
631436,Stop Work,9805,HAVERHILL,DR,,KENSINGTON,MD,20895,04/12/2013,04/17/2013,08/21/2013,450,120000.00,ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"9805 HAVERHILL DR
KENSINGTON, MD 20895
(39.016747, -77.072808)"
634555,Stop Work,5519,OAKMONT,AVE,,BETHESDA,MD,20817,05/09/2013,05/09/2013,09/04/2013,40,40000.00,ADDITION AND INTERIOR ALTERATIONS,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"5519 OAKMONT AVE
BETHESDA, MD 20817
(39.004425, -77.112728)"
613189,Stop Work,4908,ADRIAN,ST,,ROCKVILLE,MD,20853,09/28/2012,09/28/2012,,75,4500.00,ADDITION TO EXISTING RESIDENCE,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"4908 ADRIAN ST
ROCKVILLE, MD 20853
(39.066708, -77.099594)"
651586,Stop Work,2307,ARTHUR,AVE,,SILVER SPRING,MD,20902,10/15/2013,11/05/2013,,1200,150000.00,1 STORY ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"2307 ARTHUR AVE
SILVER SPRING, MD 20902
(39.018762, -77.048174)"
635070,Stop Work,7201,13TH,PL,,TAKOMA PARK,MD,20912,05/14/2013,05/15/2013,09/23/2013,27,10000.00,DORMER,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"7201 13TH PL
TAKOMA PARK, MD 20912
(38.980177, -76.987637)"
594915,Stop Work,8102,WHITES FORD,WAY,,POTOMAC,MD,20854,03/29/2012,06/28/2013,10/23/2013,200,10000.00,1ST FLOOR ADDITION- ***Revision- Modify ResCheck Report 7/16/2013***,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"8102 WHITES FORD WAY
POTOMAC, MD 20854
(39.054643, -77.166307)"
602448,Stop Work,12509,HORSESHOE BEND,CIR,,CLARKSBURG,MD,20871,06/19/2012,02/21/2013,07/21/2013,3174,100000.00,Model:Clarksburg,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,TOWNHOUSE,,"12509 HORSESHOE BEND CIR
CLARKSBURG, MD 20871
(39.228616, -77.258684)"
649600,Stop Work,4523,MIDDLETON,LN,,BETHESDA,MD,20814,09/24/2013,09/24/2013,02/19/2014,150,10000.00,DECK AND COVERED PORCH ONLY,BUILDING RESIDENTIAL PERMIT,CONSTRUCT,SINGLE FAMILY DWELLING,,"4523 MIDDLETON LN
BETHESDA, MD 20814
(38.986969, -77.092743)"
666798,Stop Work,10102,EDWARD,AVE,,BETHESDA,MD,20814,03/21/2014,03/21/2014,05/05/2014,40,4000.00,PORTICO,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"10102 EDWARD AVE
BETHESDA, MD 20814
(39.021423, -77.112672)"
669830,Stop Work,10804,KENILWORTH,AVE,,GARRETT PARK,MD,20896,04/17/2014,05/13/2014,,1700,72000.00,"ADD BATHROOM, COVERED PORCH AND CARRIAGE HOUSE",BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"10804 KENILWORTH AVE
GARRETT PARK, MD 20896
(39.033745, -77.094879)"
663197,Stop Work,41,HAVILAND MILL,RD,,BROOKEVILLE,MD,20833,02/12/2014,03/14/2014,,897,230000.00,1 STORY ADDITION,BUILDING RESIDENTIAL PERMIT,ADD,SINGLE FAMILY DWELLING,,"41 HAVILAND MILL RD
BROOKEVILLE, MD 20833
(39.176732, -77.007489)"
